Jogador,Equipe,Abates,Dano,Assists,Quedas,MVP
Yago,LOS,7,4292,3,1,1
SEU PAI,ANGELS OUTPLAY,5,2924,5,1,0
MT7,FLUXO W7M,4,2311,2,1,0
IguiNmvp,RISE GAMING,4,2131,2,1,0
Giuh,FLUXO W7M,4,1516,1,1,0
nepoIGN,ANGELS OUTPLAY,4,1455,4,1,0
Pão7,E1 SPORTS,4,1439,0,1,0
Raone7,LOS,3,2973,6,1,0
Erick11,RISE GAMING,3,2294,2,1,0
BZP,LOUD SNICKERS,3,1706,2,1,0
Bops,FLUXO W7M,3,1677,6,1,0
BuTziN,FLUXO W7M,3,1634,8,1,0
MitinX,RUSH GAMING,3,277,0,1,0
Sam7,ALPHA7,2,1644,3,1,0
Theus,AXS FUSION,2,1615,2,1,0
Rigby245,LOS,2,1497,2,1,0
DRADE.11,ANGELS OUTPLAY,2,1250,2,1,0
kauãxp,INTZ,2,1245,0,1,0
KaKaZk,RISE GAMING,2,1224,1,1,0
João7,INTZ,2,1131,1,1,0
JNmvp7,ALPHA7,2,999,2,1,0
MitoMvp,ALPHA7,2,826,3,1,0
GUAXA,LOUD SNICKERS,1,2853,2,1,0
honeyzL,INTZ,1,2442,3,1,0
TRAP,LOUD SNICKERS,1,2330,2,1,0
Yann7awp,AXS FUSION,1,1475,1,1,0
Lyon,E1 SPORTS,1,1253,1,1,0
NEYawp,ALPHA7,1,1176,0,1,0
NICKZ,LOUD SNICKERS,1,1113,0,1,0
GUS,INTZ,1,999,4,1,0
General!,LOS,1,896,4,1,0
PROZIN,RUSH GAMING,1,594,2,1,0
BLACK02,RUSH GAMING,1,525,1,1,0
Luan7,LOOPS,1,501,0,1,0
Stark,LOOPS,1,443,1,1,0
SOARES,AXS FUSION,1,299,3,1,0
Lost21,VIRTUS PRO,1,135,0,1,0
LC777,RUSH GAMING,0,1265,1,1,0
Cauã9,E1 SPORTS,0,1103,1,1,0
wLiu,AXS FUSION,0,640,3,1,0
Draxx7,LOOPS,0,392,1,1,0
Nikeboy,VIRTUS PRO,0,376,1,1,0
Mala,VIRTUS PRO,0,343,1,1,0
Ericking,LOOPS,0,313,1,1,0
WM,ANGELS OUTPLAY,0,312,2,1,0
Naandox,RISE GAMING,0,293,3,1,0
Cauan7,VIRTUS PRO,0,182,1,1,0
Juca10xL,E1 SPORTS,0,93,1,1,0
