Equipe,Grupo,Pontos,Booyah,Abates,Quedas
VIRTUS PRO,D,27,1,15,1
AXS FUSION,A,18,0,9,1
TEAM SOLID,B,16,0,12,1
RUSH GAMING,D,13,0,5,1
E1 SPORTS,A,12,0,6,1
FLUXO W7M,A,11,0,8,1
CIVIS,B,10,0,3,1
INFLUENCE RAGE,B,8,0,3,1
ALPHA7,D,6,0,5,1
VASCO ESPORTS,B,5,0,3,1
ANGELS OUTPLAY,D,4,0,4,1
LOOPS,A,4,0,4,1
