Jogador,Equipe,Abates,Dano,Assists,Quedas,MVP
IguiNmvp,RISE GAMING,9,1751,1,1,1
GUS,INTZ,6,2379,3,1,0
kauãxp,INTZ,3,2051,2,1,0
NEYawp,ALPHA7,3,1864,1,1,0
TRAP,LOUD SNICKERS,3,1774,2,1,0
GUAXA,LOUD SNICKERS,3,1655,2,1,0
JNmvp7,ALPHA7,3,1619,2,1,0
MT7,FLUXO W7M,3,1438,0,1,0
Pão7,E1 SPORTS,2,2581,1,1,0
Erick11,RISE GAMING,2,1898,6,1,0
Theus,AXS FUSION,2,1692,0,1,0
Naandox,RISE GAMING,2,1477,8,1,0
MitoMvp,ALPHA7,2,1201,2,1,0
Rigby245,LOS,2,646,1,1,0
Raone7,LOS,2,460,2,1,0
Stark,LOOPS,2,396,2,1,0
honeyzL,INTZ,1,2515,3,1,0
PROZIN,RUSH GAMING,1,1363,0,1,0
KaKaZk,RISE GAMING,1,1353,6,1,0
João7,INTZ,1,1260,6,1,0
NICKZ,LOUD SNICKERS,1,1053,3,1,0
BuTziN,FLUXO W7M,1,916,2,1,0
wLiu,AXS FUSION,1,862,2,1,0
GUIMERLQ,RUSH GAMING,1,730,0,1,0
BLACK02,RUSH GAMING,1,719,0,1,0
Draxx7,LOOPS,1,693,4,1,0
nepoIGN,ANGELS OUTPLAY,1,631,1,1,0
Bops,FLUXO W7M,1,586,2,1,0
Lyon,E1 SPORTS,1,567,1,1,0
Juca10xL,E1 SPORTS,1,507,2,1,0
Shotzzrx,VIRTUS PRO,1,460,0,1,0
Luan7,LOOPS,1,422,4,1,0
SEU PAI,ANGELS OUTPLAY,1,410,2,1,0
DRADE.11,ANGELS OUTPLAY,1,409,0,1,0
Ericking,LOOPS,1,281,0,1,0
SOARES,AXS FUSION,0,1096,2,1,0
LC777,RUSH GAMING,0,945,0,1,0
Yann7awp,AXS FUSION,0,587,1,1,0
Yago,LOS,0,570,4,1,0
Nikeboy,VIRTUS PRO,0,464,0,1,0
HAK,LOUD SNICKERS,0,455,4,1,0
WM,ANGELS OUTPLAY,0,326,2,1,0
mtsexy.,LOS,0,270,0,1,0
Sam7,ALPHA7,0,245,0,1,0
Lost21,VIRTUS PRO,0,243,1,1,0
Giuh,FLUXO W7M,0,144,2,1,0
Cauã9,E1 SPORTS,0,92,2,1,0
Cauan7,VIRTUS PRO,0,55,1,1,0
