Jogador,Equipe,Abates,Dano,Assists,Quedas,MVP
Yago,LOS,8,2602,0,1,1
Pão7,E1 SPORTS,5,2936,1,1,0
Cauã9,E1 SPORTS,5,2161,5,1,0
Nikeboy,VIRTUS PRO,5,1766,0,1,0
SOARES,AXS FUSION,4,2243,2,1,0
Juca10xL,E1 SPORTS,4,2139,8,1,0
NICKZ,LOUD SNICKERS,4,898,0,1,0
Bops,FLUXO W7M,3,1798,3,1,0
BuTziN,FLUXO W7M,3,1674,4,1,0
MitoMvp,ALPHA7,3,1658,1,1,0
Draxx7,LOOPS,3,1465,3,1,0
Giuh,FLUXO W7M,2,2423,5,1,0
NEYawp,ALPHA7,2,2349,2,1,0
Ericking,LOOPS,2,2291,0,1,0
Stark,LOOPS,2,1714,4,1,0
Yann7awp,AXS FUSION,2,1283,0,1,0
JNmvp7,ALPHA7,2,1270,0,1,0
Theus,AXS FUSION,2,1214,2,1,0
Luan7,LOOPS,2,651,3,1,0
nepoIGN,ANGELS OUTPLAY,2,500,0,1,0
MT7,FLUXO W7M,1,2256,2,1,0
LC777,RUSH GAMING,1,2094,1,1,0
Sam7,ALPHA7,1,1502,2,1,0
GUAXA,LOUD SNICKERS,1,1252,0,1,0
Lyon,E1 SPORTS,1,1156,8,1,0
Cauan7,VIRTUS PRO,1,1038,2,1,0
IguiNmvp,RISE GAMING,1,649,0,1,0
wLiu,AXS FUSION,1,649,1,1,0
kauãxp,INTZ,1,569,0,1,0
GUIMERLQ,RUSH GAMING,1,532,0,1,0
KaKaZk,RISE GAMING,0,912,0,1,0
Rigby245,LOS,0,467,3,1,0
Lost21,VIRTUS PRO,0,458,2,1,0
BZP,LOUD SNICKERS,0,450,2,1,0
GUS,INTZ,0,439,1,1,0
PROZIN,RUSH GAMING,0,323,0,1,0
Naandox,RISE GAMING,0,293,1,1,0
SEU PAI,ANGELS OUTPLAY,0,289,1,1,0
TRAP,LOUD SNICKERS,0,281,1,1,0
honeyzL,INTZ,0,275,1,1,0
BLACK02,RUSH GAMING,0,168,0,1,0
Raone7,LOS,0,157,5,1,0
WM,ANGELS OUTPLAY,0,147,0,1,0
Shotzzrx,VIRTUS PRO,0,143,0,1,0
DRADE.11,ANGELS OUTPLAY,0,119,0,1,0
General!,LOS,0,9,3,1,0
João7,INTZ,0,0,0,1,0
Erick11,RISE GAMING,0,0,0,1,0
