Jogador,Equipe,Abates,Dano,Assists,Quedas,MVP
Raone7,LOS,8,3564,0,1,1
João7,INTZ,5,1454,1,1,0
Stark,LOOPS,4,1578,1,1,0
GUAXA,LOUD SNICKERS,3,2546,2,1,0
TRAP,LOUD SNICKERS,3,1860,1,1,0
BZP,LOUD SNICKERS,3,1602,4,1,0
Ericking,LOOPS,2,1897,1,1,0
Yago,LOS,2,1603,1,1,0
honeyzL,INTZ,2,1363,2,1,0
Luan7,LOOPS,2,974,1,1,0
NEYawp,ALPHA7,2,798,1,1,0
Cauan7,VIRTUS PRO,1,2761,0,1,0
Draxx7,LOOPS,1,1541,5,1,0
KaKaZk,RISE GAMING,1,1298,0,1,0
Theus,AXS FUSION,1,1274,2,1,0
BuTziN,FLUXO W7M,1,860,2,1,0
LC777,RUSH GAMING,1,627,0,1,0
Lyon,E1 SPORTS,1,591,0,1,0
DRADE.11,ANGELS OUTPLAY,1,507,0,1,0
Sam7,ALPHA7,1,446,1,1,0
MT7,FLUXO W7M,1,270,0,1,0
Giuh,FLUXO W7M,1,207,0,1,0
Bops,FLUXO W7M,1,143,1,1,0
SOARES,AXS FUSION,1,132,1,1,0
wLiu,AXS FUSION,1,64,0,1,0
Nikeboy,VIRTUS PRO,0,2495,1,1,0
Yann7awp,AXS FUSION,0,1258,3,1,0
Pão7,E1 SPORTS,0,830,0,1,0
Mala,VIRTUS PRO,0,609,0,1,0
MitoMvp,ALPHA7,0,603,2,1,0
Erick11,RISE GAMING,0,457,0,1,0
Naandox,RISE GAMING,0,425,0,1,0
nepoIGN,ANGELS OUTPLAY,0,418,1,1,0
Rigby245,LOS,0,400,2,1,0
NICKZ,LOUD SNICKERS,0,377,3,1,0
GUS,INTZ,0,320,0,1,0
MitinX,RUSH GAMING,0,252,1,1,0
General!,LOS,0,218,3,1,0
JNmvp7,ALPHA7,0,216,3,1,0
WM,ANGELS OUTPLAY,0,176,0,1,0
Lost21,VIRTUS PRO,0,155,1,1,0
BLACK02,RUSH GAMING,0,115,0,1,0
Juca10xL,E1 SPORTS,0,104,0,1,0
IguiNmvp,RISE GAMING,0,70,0,1,0
PROZIN,RUSH GAMING,0,64,1,1,0
kauãxp,INTZ,0,50,0,1,0
Cauã9,E1 SPORTS,0,46,0,1,0
SEU PAI,ANGELS OUTPLAY,0,0,0,1,0
