Equipe,Grupo,Pontos,Booyah,Abates,Quedas
FLUXO W7M,A,28,1,16,1
INFLUENCE RAGE,B,19,0,10,1
TEAM SOLID,B,16,0,8,1
RUSH GAMING,D,15,0,12,1
ANGELS OUTPLAY,D,13,0,7,1
LOOPS,A,11,0,9,1
VIRTUS PRO,D,11,0,6,1
VASCO ESPORTS,B,8,0,1,1
AXS FUSION,A,7,0,3,1
ALPHA7,D,4,0,3,1
CIVIS,B,1,0,1,1
E1 SPORTS,A,null,0,0,1
