Equipe,Grupo,Pontos,Booyah,Abates,Quedas
FLUXO W7M,A,30,1,18,1
CIVIS,B,20,0,12,1
VASCO ESPORTS,B,18,0,11,1
ALPHA7,D,17,0,17,1
INFLUENCE RAGE,B,15,0,6,1
E1 SPORTS,A,14,0,10,1
RUSH GAMING,D,12,0,11,1
LOOPS,A,12,0,6,1
VIRTUS PRO,D,11,0,8,1
ANGELS OUTPLAY,D,10,0,8,1
AXS FUSION,A,9,0,4,1
TEAM SOLID,B,4,0,4,1
